ID,Gender,Location,E-Paylater User Status,Educational Background,Year of Birth,Job Status,Monthly Income,Online Shopping Expenditure Percentage,Impulsive Buying Behavior Score,Promotion Score,Social Influence Score,Happiness Score,Self Control Score,Normative Evaluation Score
14,Male,DKI Jakarta,Non e-paylater user,Post Graduate,1999,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.25,2.0,3.0,3.0,4.6,5.0
15,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Students,"Less than Rp 1,000,000",Less than 20%,2.5,2.25,2.3333333333333335,3.25,3.4,2.6
16,Male,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4.0,2.0,2.1666666666666665,3.0,3.2,3.8
17,Male,West Sumatera,e-paylater user,"Diploma I, II, III",2002,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3.25,4.0,3.0,3.25,3.0,3.2
18,Female,West Sumatera,e-paylater user,"Diploma I, II, III",2002,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,3.5,3.75,3.8333333333333335,3.5,3.0,3.6
19,Male,West Java,e-paylater user,Bachelor/Diploma IV,1978,Entrepreneur,"More than Rp 10,000,000",21% - 40%,4.25,2.0,3.5,2.25,2.0,3.4
20,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1980,Students,"Less than Rp 1,000,000",Less than 20%,3.0,5.0,3.3333333333333335,4.0,4.2,4.8
21,Male,North Sumatera,Non e-paylater user,Until Senior High School,1999,Students,"Less than Rp 1,000,000",21% - 40%,3.75,4.25,4.666666666666667,4.0,2.0,3.6
22,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.0,2.0,2.0,2.0,3.2,3.0
23,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"More than Rp 10,000,000",Less than 20%,2.25,1.0,1.0,2.5,2.6,3.8
24,Female,West Sumatera,e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",21% - 40%,2.75,3.75,3.1666666666666665,4.0,2.8,3.0
25,Female,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.0,3.0,2.0,4.0,3.6,3.6
26,Male,DKI Jakarta,e-paylater user,"Diploma I, II, III",1991,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3.75,3.75,4.333333333333333,3.75,3.2,3.0
27,Male,Jambi,Non e-paylater user,"Diploma I, II, III",1999,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,1.5,2.0,1.5,1.25,3.2,2.8
28,Male,North Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",More than 100%,2.0,2.25,4.0,3.75,2.0,4.2
29,Male,West Sumatera,Non e-paylater user,Post Graduate,1978,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,3.5,2.5,3.0,3.5,3.2,3.6
30,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3.25,1.0,3.0,3.0,3.4,4.8
31,Male,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1999,Working,"More than Rp 10,000,000",Less than 20%,3.0,1.0,2.1666666666666665,3.75,3.6,2.4
32,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4.0,1.5,2.0,4.25,3.0,3.0
33,Female,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",Less than 20%,2.75,1.0,1.0,3.0,2.8,3.6
34,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,3.5,2.0,2.0,2.0,3.6,4.0
35,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,3.0,2.5,2.3333333333333335,4.0,2.8,3.4
36,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",1998,Students,"Less than Rp 1,000,000",Less than 20%,2.5,1.5,3.5,3.25,3.2,3.6
37,Male,West Sumatera,e-paylater user,"Diploma I, II, III",1998,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3.75,3.75,4.333333333333333,3.75,3.2,3.0
38,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2000,Students,"Less than Rp 1,000,000",Less than 20%,2.0,2.75,2.5,5.0,3.8,2.2
39,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4.5,1.0,1.5,5.0,1.6,5.0
40,Female,DKI Jakarta,e-paylater user,Until Senior High School,1998,Not Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2.75,2.0,2.0,3.0,3.0,3.0
41,Female,North Sumatera,e-paylater user,Bachelor/Diploma IV,1998,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3.75,3.75,3.0,3.75,2.6,3.8
42,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1996,Students,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,1.75,1.0,1.0,1.0,5.0,5.0
43,Female,West Kalimantan,e-paylater user,Bachelor/Diploma IV,1985,Working,"Rp 1,000,001 - Rp 2,500,000",61% - 80%,3.0,4.0,3.0,4.0,3.0,3.0
44,Male,West Java,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",21% - 40%,3.25,3.0,3.8333333333333335,2.5,1.2,4.4
45,Female,Kepulauan Riau,e-paylater user,Until Senior High School,1978,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4.0,3.0,3.0,4.0,3.0,3.0
46,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1980,Not Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2.0,2.0,2.0,3.0,2.8,2.6
47,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2004,Working,"More than Rp 10,000,000",Less than 20%,2.5,4.0,1.0,3.75,3.0,4.0
48,Male,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"More than Rp 10,000,000",Less than 20%,3.0,2.0,2.0,3.25,2.8,3.4
49,Male,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1988,Not Working,"Less than Rp 1,000,000",Less than 20%,5.0,5.0,5.0,5.0,2.6,5.0
50,Female,Riau,Non e-paylater user,Post Graduate,2003,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3.25,1.0,1.3333333333333333,2.0,3.4,3.2
51,Male,West Java,Non e-paylater user,Bachelor/Diploma IV,1998,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.5,1.0,1.0,3.0,3.8,5.0
52,Female,DKI Jakarta,e-paylater user,Post Graduate,1997,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.0,2.75,2.5,2.0,3.8,2.2
53,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1987,Students,"Less than Rp 1,000,000",Less than 20%,3.0,2.0,2.0,3.75,3.6,4.2
54,Female,West Java,e-paylater user,Bachelor/Diploma IV,1979,Students,"Less than Rp 1,000,000",Less than 20%,2.0,4.0,4.0,4.0,3.2,2.2
55,Female,Riau,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,4.25,1.75,2.5,5.0,2.2,2.2
56,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2000,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,1.75,1.0,1.5,4.0,2.4,2.8
57,Female,West Sumatera,e-paylater user,"Diploma I, II, III",2000,Students,"Less than Rp 1,000,000",21% - 40%,4.0,4.0,1.0,4.0,2.8,3.4
58,Female,DKI Jakarta,Non e-paylater user,Post Graduate,1998,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.25,1.0,2.0,4.0,3.4,4.2
59,Male,DKI Jakarta,e-paylater user,Post Graduate,1999,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,1.75,4.25,3.6666666666666665,4.5,4.2,3.6
60,Female,West Sumatera,e-paylater user,Until Senior High School,1989,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.75,3.25,3.5,3.5,3.2,3.0
61,Female,West Sumatera,e-paylater user,Until Senior High School,1984,Students,"Less than Rp 1,000,000",Less than 20%,1.5,1.75,2.0,3.25,3.8,3.6
62,Female,West Sumatera,Non e-paylater user,Until Senior High School,1995,Students,"Less than Rp 1,000,000",Less than 20%,3.5,3.0,2.6666666666666665,4.0,3.4,3.0
63,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1976,Working,"More than Rp 10,000,000",Less than 20%,3.5,1.0,2.0,3.0,3.0,3.0
64,Female,West Java,e-paylater user,Post Graduate,1997,Entrepreneur,"Rp 7,500,001 - Rp 10,000,000",41% - 60%,4.0,4.25,4.333333333333333,4.0,3.2,2.0
65,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1979,Students,"Less than Rp 1,000,000",21% - 40%,3.0,3.0,2.1666666666666665,4.0,2.8,3.2
66,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.5,2.0,2.0,2.0,3.8,3.8
67,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,3.0,2.25,1.1666666666666667,4.75,3.0,3.8
68,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1.5,1.0,1.0,3.25,3.2,2.8
69,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,2.75,3.25,3.0,3.0,2.8,3.0
70,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1974,Students,"Less than Rp 1,000,000",21% - 40%,1.75,1.0,1.0,4.0,3.6,4.2
71,Female,West Sumatera,Non e-paylater user,Until Senior High School,1982,Students,"Less than Rp 1,000,000",Less than 20%,3.25,2.25,1.5,4.0,2.6,3.0
72,Female,Kepulauan Riau,Non e-paylater user,Until Senior High School,1994,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.25,1.0,1.0,4.5,3.2,3.6
73,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1996,Students,"Less than Rp 1,000,000",Less than 20%,3.75,4.0,3.6666666666666665,3.75,3.2,2.8
74,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,1.75,1.0,1.0,2.75,4.6,5.0
75,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1995,Working,"More than Rp 10,000,000",41% - 60%,3.0,2.0,2.0,4.0,3.4,5.0
76,Female,West Java,e-paylater user,Bachelor/Diploma IV,1974,Students,"Less than Rp 1,000,000",21% - 40%,3.0,4.0,4.0,4.75,2.8,2.0
77,Female,West Sumatera,Non e-paylater user,Until Senior High School,1988,Students,"Less than Rp 1,000,000",Less than 20%,3.0,2.0,2.0,3.25,3.4,2.0
78,Male,West Sumatera,e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",Less than 20%,3.75,3.5,3.5,4.0,1.8,3.8
79,Male,Riau,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,2.0,2.0,2.0,3.2,2.0
80,Male,West Java,Non e-paylater user,Bachelor/Diploma IV,1988,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1.25,1.0,1.3333333333333333,3.0,4.0,3.6
81,Female,West Sumatera,Non e-paylater user,Post Graduate,1995,Working,"More than Rp 10,000,000",Less than 20%,2.0,2.0,3.0,3.0,3.2,3.6
82,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2.25,2.0,2.0,2.0,3.4,4.2
83,Female,West Sumatera,e-paylater user,Until Senior High School,2001,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.75,3.0,2.3333333333333335,4.0,3.0,3.6
84,Female,Jambi,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4.25,1.0,2.0,4.75,2.6,1.8
85,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1990,Working,"More than Rp 10,000,000",Less than 20%,2.5,1.0,1.0,4.0,4.0,3.0
86,Male,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",21% - 40%,3.0,1.0,1.0,2.25,2.8,2.8
87,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1995,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3.5,3.0,3.0,4.0,3.0,3.0
88,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",1997,Students,"Less than Rp 1,000,000",Less than 20%,2.75,1.0,3.0,4.0,3.4,2.8
89,Male,DKI Jakarta,Non e-paylater user,Until Senior High School,1986,Students,"Less than Rp 1,000,000",Less than 20%,1.5,2.75,2.6666666666666665,3.5,3.8,3.6
90,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2.0,1.0,1.0,5.0,3.4,4.4
91,Female,West Java,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,4.25,2.0,2.5,5.0,2.4,1.8
92,Female,West Java,e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",21% - 40%,3.0,3.0,2.0,4.0,3.0,2.8
93,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1980,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.5,1.0,1.0,4.0,4.2,3.8
94,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2.25,2.0,2.0,4.0,3.4,3.0
95,Female,West Sumatera,e-paylater user,Post Graduate,2001,Entrepreneur,"Rp 7,500,001 - Rp 10,000,000",41% - 60%,4.0,4.25,4.333333333333333,4.0,3.2,2.0
96,Male,DKI Jakarta,Non e-paylater user,Post Graduate,1970,Working,"More than Rp 10,000,000",Less than 20%,1.5,1.0,1.0,2.75,4.0,3.8
97,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1992,Not Working,"Less than Rp 1,000,000",21% - 40%,4.0,1.0,1.0,4.0,2.6,4.4
98,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,1.0,1.3333333333333333,4.0,4.0,2.0
99,Female,Bengkulu,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3.5,1.0,1.0,3.5,2.8,3.6
100,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,1.0,1.0,1.6666666666666667,3.0,3.6,3.6
101,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",21% - 40%,1.75,1.0,1.0,3.5,2.8,2.8
102,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.0,4.0,3.1666666666666665,4.0,2.8,2.8
103,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,1.0,2.0,2.0,2.0,3.2,3.6
104,Female,West Sumatera,e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,2.0,1.0,3.0,3.0,3.4,3.0
105,Male,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",Less than 20%,3.5,3.0,3.0,4.25,3.0,2.2
106,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",61% - 80%,2.75,2.5,2.6666666666666665,5.0,2.8,3.2
107,Female,Riau,Non e-paylater user,Until Senior High School,1996,Students,"Less than Rp 1,000,000",Less than 20%,1.75,1.0,1.0,3.25,3.2,4.8
108,Female,West Sumatera,Non e-paylater user,Post Graduate,2002,Students,"Less than Rp 1,000,000",Less than 20%,3.5,2.0,3.0,4.0,3.0,3.0
109,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",41% - 60%,1.5,1.0,1.1666666666666667,4.0,3.8,4.8
110,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.5,1.75,2.6666666666666665,4.0,3.6,4.2
111,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2004,Entrepreneur,"More than Rp 10,000,000",Less than 20%,1.0,1.0,1.0,1.0,5.0,5.0
112,Male,East Java,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,3.5,4.0,4.0,4.0,2.8,4.0
113,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1992,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3.75,2.25,3.0,3.0,3.4,2.2
114,Female,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1990,Students,"Less than Rp 1,000,000",Less than 20%,4.5,1.5,2.1666666666666665,4.0,4.0,4.0
115,Male,Riau,Non e-paylater user,Post Graduate,1984,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3.0,3.5,1.8333333333333333,1.75,3.4,3.4
116,Male,West Sumatera,Non e-paylater user,Until Senior High School,1995,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.0,1.0,1.0,2.25,5.0,5.0
117,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1979,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,1.5,1.0,2.6666666666666665,2.25,2.6,5.0
118,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,2.0,2.25,2.1666666666666665,4.0,2.8,4.4
119,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1990,Working,"More than Rp 10,000,000",Less than 20%,3.75,4.0,4.0,4.0,2.4,4.4
120,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",Less than 20%,3.75,4.0,4.0,4.0,2.4,4.4
121,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4.0,4.25,3.6666666666666665,3.75,3.2,3.4
122,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2001,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.75,1.75,1.0,1.5,3.0,4.2
123,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,3.5,3.75,4.5,4.0,3.2,2.8
124,Female,West Sumatera,e-paylater user,"Diploma I, II, III",2000,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,3.5,3.75,3.8333333333333335,3.5,3.0,3.6
125,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1995,Working,"Rp 5,000,001 - Rp 7,500,000",61% - 80%,2.5,1.5,2.0,4.0,3.8,3.6
126,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2000,Entrepreneur,"Rp 1,000,001 - Rp 2,500,000",41% - 60%,3.25,1.0,2.0,4.0,3.6,2.6
127,Female,West Java,Non e-paylater user,Until Senior High School,1988,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3.0,2.0,2.0,4.0,3.4,3.4
128,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,3.0,2.0,3.0,4.0,3.4,3.0
129,Female,West Sumatera,e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3.75,4.0,3.5,4.25,4.2,3.6
130,Male,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,1.25,1.0,1.3333333333333333,3.5,4.0,3.8
131,Male,North Sumatera,Non e-paylater user,Until Senior High School,1996,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,1.25,2.0,2.0,3.0,3.6,4.0
132,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2003,Entrepreneur,"More than Rp 10,000,000",21% - 40%,4.25,2.0,3.5,2.25,2.0,3.4
133,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2003,Working,"More than Rp 10,000,000",Less than 20%,2.0,2.0,1.3333333333333333,4.0,5.0,5.0
134,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1.75,1.0,1.0,1.0,4.4,5.0
135,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",21% - 40%,2.5,2.5,2.6666666666666665,4.0,4.0,1.0
136,Male,West Java,Non e-paylater user,Post Graduate,1989,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3.25,4.0,4.0,4.0,4.6,5.0
137,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Entrepreneur,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,1.0,2.0,2.3333333333333335,3.25,3.0,3.6
138,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,3.75,4.0,3.6666666666666665,3.75,3.2,2.8
139,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",41% - 60%,3.5,3.5,2.6666666666666665,3.5,2.6,4.0
140,Female,West Sumatera,e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",Less than 20%,2.25,3.0,3.0,4.0,2.6,2.4
141,Female,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3.0,2.0,2.0,4.0,3.4,2.2
142,Female,Riau,e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,4.5,4.0,4.0,4.0,2.0,4.0
143,Female,West Java,Non e-paylater user,Until Senior High School,1977,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.0,2.25,1.1666666666666667,2.75,3.2,3.2
144,Male,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"More than Rp 10,000,000",Less than 20%,1.0,1.0,1.0,3.75,3.6,4.6
145,Male,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.5,1.0,1.0,1.0,2.6,1.0
146,Female,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2.0,2.0,2.0,2.75,2.8,3.6
147,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Students,"Less than Rp 1,000,000",Less than 20%,2.5,1.0,1.0,5.0,3.4,1.4
148,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Entrepreneur,"More than Rp 10,000,000",Less than 20%,5.0,3.0,2.0,4.0,3.2,4.2
149,Female,Jambi,Non e-paylater user,Until Senior High School,2000,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4.0,2.75,3.0,3.0,3.4,2.0
150,Female,West Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.75,1.0,2.8333333333333335,4.0,2.8,3.2
151,Female,Riau,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",Less than 20%,3.75,4.0,4.0,4.0,2.4,4.4
152,Female,West Sumatera,Non e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,3.75,4.0,4.0,4.0,2.8,4.0
153,Female,West Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",Less than 20%,2.25,3.75,3.1666666666666665,3.75,3.2,2.8
154,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1996,Not Working,"Less than Rp 1,000,000",41% - 60%,3.75,1.0,1.0,4.0,3.2,3.2
155,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,1.5,3.5,3.1666666666666665,4.0,3.2,5.0
156,Male,West Sumatera,Non e-paylater user,Until Senior High School,2002,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2.0,2.25,2.0,3.0,2.8,1.6
157,Female,West Sumatera,Non e-paylater user,Post Graduate,1980,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,1.0,1.3333333333333333,3.75,3.8,3.8
