ID,Gender,Location,E-Paylater User Status,Educational Background,Year of Birth,Job Status,Monthly Income,Online Shopping Expenditure Percentage,IBB1,IBB2,IBB3,IBB4,P1,P2,P3,P4,SI1,SI2,SI3,SI4,SI5,SI6,H1,H2,H3,H4,SC1,SC2,SC3,SC4,SC5,NE1,NE2,NE3,NE4,NE5
17,Male,West Sumatera,e-paylater user,"Diploma I, II, III",2002,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,3,4,2,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,2,3,2,4,2,3,4,4,3
18,Female,West Sumatera,e-paylater user,"Diploma I, II, III",2002,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,4,5,1,4,4,5,2,4,2,5,3,4,5,4,2,3,4,5,4,5,3,2,1,4,2,5,2,5
19,Male,West Java,e-paylater user,Bachelor/Diploma IV,1978,Entrepreneur,"More than Rp 10,000,000",21% - 40%,4,3,5,5,1,2,2,3,2,5,5,5,2,2,2,3,1,3,4,2,2,1,1,4,2,4,2,5
20,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1980,Students,"Less than Rp 1,000,000",Less than 20%,3,2,4,3,5,5,5,5,4,3,3,3,3,4,4,4,4,4,5,5,5,2,4,5,5,5,5,4
21,Male,North Sumatera,Non e-paylater user,Until Senior High School,1999,Students,"Less than Rp 1,000,000",21% - 40%,4,4,2,5,4,4,4,5,4,4,5,5,5,5,4,4,4,4,2,3,2,1,2,4,4,4,3,3
22,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,3,3
23,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"More than Rp 10,000,000",Less than 20%,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,1,2,3,4,3,5,3,4,3,4
24,Female,West Sumatera,e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",21% - 40%,4,3,2,2,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,2,2,2,3,3,3,3,3
25,Female,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,1,3,1,3,3,3,3,2,2,2,2,2,2,4,4,4,4,5,5,3,2,3,3,3,4,5,3
26,Male,DKI Jakarta,e-paylater user,"Diploma I, II, III",1991,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,4,5,2,4,5,1,4,5,5,3,5,5,4,4,5,5,2,3,4,5,4,2,1,4,5,2,3,1
27,Male,Jambi,Non e-paylater user,"Diploma I, II, III",1999,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,1,2,2,1,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,5,4,4,2,2,3,3,4
28,Male,North Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",More than 100%,2,2,3,1,3,2,2,2,4,4,4,4,4,4,2,3,5,5,2,3,1,2,2,4,5,5,3,4
29,Male,West Sumatera,Non e-paylater user,Post Graduate,1978,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,4,4,4,2,2,2,2,4,4,4,2,4,2,2,3,4,3,4,4,4,2,3,3,3,4,4,4,3
30,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,5,4,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,2,3,4,5,5,5,4,5
31,Male,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1999,Working,"More than Rp 10,000,000",Less than 20%,4,1,4,3,1,1,1,1,2,2,2,3,2,2,4,4,3,4,4,4,3,3,4,3,4,2,2,1
32,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,5,4,4,3,1,2,1,2,2,2,2,2,2,2,5,4,4,4,3,3,3,3,3,3,3,3,3,3
33,Female,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",Less than 20%,4,3,3,1,1,1,1,1,1,1,1,1,1,1,4,3,3,2,4,4,2,2,2,4,4,3,5,2
34,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,4,4,4,4,4
35,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,4,3,3,2,2,3,2,3,2,3,3,2,2,2,4,4,4,4,4,4,2,2,2,3,2,5,3,4
36,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",1998,Students,"Less than Rp 1,000,000",Less than 20%,3,3,2,2,1,2,1,2,3,3,4,4,4,3,3,3,3,4,3,3,3,4,3,3,4,4,3,4
37,Male,West Sumatera,e-paylater user,"Diploma I, II, III",1998,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,4,5,2,4,5,1,4,5,5,3,5,5,4,4,5,5,2,3,4,5,4,2,1,4,5,2,3,1
38,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2000,Students,"Less than Rp 1,000,000",Less than 20%,2,2,2,2,3,2,3,3,2,3,2,3,2,3,5,5,5,5,4,3,3,4,5,1,3,3,2,2
39,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,4,5,5,1,1,1,1,1,4,1,1,1,1,5,5,5,5,2,3,1,1,1,5,5,5,5,5
40,Female,DKI Jakarta,e-paylater user,Until Senior High School,1998,Not Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,4,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,2,3,3,3,3,3,3,3
41,Female,North Sumatera,e-paylater user,Bachelor/Diploma IV,1998,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,4,4,3,4,4,4,3,4,2,3,2,3,4,4,4,3,4,3,3,2,3,2,4,4,4,4,3
42,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1996,Students,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5
43,Female,West Kalimantan,e-paylater user,Bachelor/Diploma IV,1985,Working,"Rp 1,000,001 - Rp 2,500,000",61% - 80%,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3
44,Male,West Java,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",21% - 40%,3,3,4,3,3,3,3,3,5,3,3,4,4,4,3,2,3,2,1,2,1,1,1,5,5,5,3,4
45,Female,Kepulauan Riau,e-paylater user,Until Senior High School,1978,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,3,3,3,3,3,3
46,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1980,Not Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2
47,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2004,Working,"More than Rp 10,000,000",Less than 20%,3,2,3,2,4,4,4,4,1,1,1,1,1,1,4,4,4,3,5,4,2,2,2,4,4,4,4,4
48,Male,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"More than Rp 10,000,000",Less than 20%,4,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,3,3,2,2,3,3,3,4,4
49,Male,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1988,Not Working,"Less than Rp 1,000,000",Less than 20%,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5
50,Female,Riau,Non e-paylater user,Post Graduate,2003,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,4,4,4,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,4,4,3,3,3,3,3,3,4,3
51,Male,West Java,Non e-paylater user,Bachelor/Diploma IV,1998,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,2,4,2,1,1,1,1,1,1,1,1,1,1,4,2,3,3,4,4,4,4,3,5,5,5,5,5
52,Female,DKI Jakarta,e-paylater user,Post Graduate,1997,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,2,2,2,2,4,1,4,4,3,3,2,1,2,2,2,2,2,4,4,4,4,3,5,1,3,1,1
53,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1987,Students,"Less than Rp 1,000,000",Less than 20%,2,4,4,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,3,3,4,5,4,4,4,4
54,Female,West Java,e-paylater user,Bachelor/Diploma IV,1979,Students,"Less than Rp 1,000,000",Less than 20%,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,2,2,2,2,3
55,Female,Riau,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,5,1,2,2,2,3,3,3,1,2,3,5,5,5,5,1,3,1,3,3,1,3,3,2,2
56,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2000,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,2,2,2,3,2,5,2,2
57,Female,West Sumatera,e-paylater user,"Diploma I, II, III",2000,Students,"Less than Rp 1,000,000",21% - 40%,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,2,2,2,4,4,3,3,3
58,Female,DKI Jakarta,Non e-paylater user,Post Graduate,1998,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,3,2,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,4,5,5,3,4
59,Male,DKI Jakarta,e-paylater user,Post Graduate,1999,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2,2,2,1,4,4,4,5,4,4,5,2,2,5,4,4,5,5,4,4,4,4,5,4,4,4,2,4
60,Female,West Sumatera,e-paylater user,Until Senior High School,1989,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,4,4,3,3,4,3,3,4,4,4,3,3,3,4,4,3,3,4,4,2,3,3,3,3,4,3,2
61,Female,West Sumatera,e-paylater user,Until Senior High School,1984,Students,"Less than Rp 1,000,000",Less than 20%,2,2,1,1,1,4,1,1,2,2,2,2,2,2,3,3,4,3,4,4,4,3,4,5,4,1,5,3
62,Female,West Sumatera,Non e-paylater user,Until Senior High School,1995,Students,"Less than Rp 1,000,000",Less than 20%,4,3,4,3,3,3,3,3,2,2,2,4,3,3,4,4,4,4,4,4,3,3,3,3,3,4,3,2
63,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1976,Working,"More than Rp 10,000,000",Less than 20%,4,4,4,2,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
64,Female,West Java,e-paylater user,Post Graduate,1997,Entrepreneur,"Rp 7,500,001 - Rp 10,000,000",41% - 60%,4,5,2,5,5,3,4,5,5,4,5,3,4,5,4,5,3,4,4,5,4,2,1,2,2,3,1,2
65,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1979,Students,"Less than Rp 1,000,000",21% - 40%,3,3,3,3,3,3,3,3,2,3,2,2,2,2,4,4,4,4,4,4,2,2,2,3,3,4,3,3
66,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,1,4,4,5,5,1,5,3
67,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,4,3,3,2,1,3,1,4,2,1,1,1,1,1,5,5,5,4,4,4,2,2,3,5,4,5,4,1
68,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,3,3,3,4,4,3,2,3,4,4,3,2,1
69,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,3,3,3,3,3
70,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1974,Students,"Less than Rp 1,000,000",21% - 40%,2,1,3,1,1,1,1,1,1,1,1,1,1,1,5,3,4,4,4,5,3,4,2,5,4,5,4,3
71,Female,West Sumatera,Non e-paylater user,Until Senior High School,1982,Students,"Less than Rp 1,000,000",Less than 20%,2,2,4,5,3,2,1,3,1,2,2,1,2,1,4,4,4,4,3,3,3,2,2,3,3,3,3,3
72,Female,Kepulauan Riau,Non e-paylater user,Until Senior High School,1994,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,3,2,3,3,5,5,5,5,1,2
73,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1996,Students,"Less than Rp 1,000,000",Less than 20%,4,5,2,4,3,3,5,5,4,2,4,5,5,2,4,5,2,4,4,5,4,2,1,1,2,4,5,2
74,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,1,5,5,3,5,5,5,5,5,5,5
75,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1995,Working,"More than Rp 10,000,000",41% - 60%,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,4,4,2,4,5,5,5,5,5
76,Female,West Java,e-paylater user,Bachelor/Diploma IV,1974,Students,"Less than Rp 1,000,000",21% - 40%,4,4,2,2,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,2,2,2,2,2,2,2,2
77,Female,West Sumatera,Non e-paylater user,Until Senior High School,1988,Students,"Less than Rp 1,000,000",Less than 20%,4,4,3,1,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,4,4,2,2,2,2,2
78,Male,West Sumatera,e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",Less than 20%,3,2,5,5,5,3,3,3,4,4,4,3,3,3,4,4,4,4,2,2,1,1,3,4,4,3,5,3
79,Male,Riau,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2
80,Male,West Java,Non e-paylater user,Bachelor/Diploma IV,1988,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1,2,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,4,4,2,5,5,4,3,4,4,3
81,Female,West Sumatera,Non e-paylater user,Post Graduate,1995,Working,"More than Rp 10,000,000",Less than 20%,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,5,3,5,3,2
82,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,4,4,4,4,5,4,4
83,Female,West Sumatera,e-paylater user,Until Senior High School,2001,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,2,4,1,4,4,2,2,3,2,2,2,2,3,4,4,4,4,3,4,3,2,3,5,3,4,4,2
84,Female,Jambi,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,5,5,4,3,1,1,1,1,2,2,2,2,2,2,5,5,5,4,3,3,2,2,3,2,3,2,1,1
85,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1990,Working,"More than Rp 10,000,000",Less than 20%,1,3,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,5,5,5,3,3,3,3,3
86,Male,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",21% - 40%,3,3,4,2,1,1,1,1,1,1,1,1,1,1,2,2,3,2,4,4,2,2,2,3,4,3,2,2
87,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1995,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,3,3,3,3,3,3
88,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",1997,Students,"Less than Rp 1,000,000",Less than 20%,3,3,2,3,1,1,1,1,3,3,3,3,4,2,4,4,4,4,4,4,3,3,3,2,3,3,3,3
89,Male,DKI Jakarta,Non e-paylater user,Until Senior High School,1986,Students,"Less than Rp 1,000,000",Less than 20%,2,1,2,1,3,3,2,3,3,2,2,3,3,3,3,4,3,4,4,4,3,4,4,4,4,4,3,3
90,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,2,5,5,5,5
91,Female,West Java,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,5,1,3,2,2,3,3,3,1,2,3,5,5,5,5,1,4,3,2,2,1,3,3,1,1
92,Female,West Java,e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",21% - 40%,4,3,3,2,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,2,2,3,3,4,2,3,2
93,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1980,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,3,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,5,4,4,4,4,3
94,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3,2,3,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,3,4,3,3,3,3,3
95,Female,West Sumatera,e-paylater user,Post Graduate,2001,Entrepreneur,"Rp 7,500,001 - Rp 10,000,000",41% - 60%,4,5,2,5,5,3,4,5,5,4,5,3,4,5,4,5,3,4,4,5,4,2,1,2,2,3,1,2
96,Male,DKI Jakarta,Non e-paylater user,Post Graduate,1970,Working,"More than Rp 10,000,000",Less than 20%,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,4,4,4,4,4,5,5,5,2,2
97,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1992,Not Working,"Less than Rp 1,000,000",21% - 40%,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,2,2,3,4,4,4,5,5
98,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,2,3,1,1,1,1,1,3,1,1,1,1,1,4,4,4,4,4,4,3,4,5,3,3,2,1,1
99,Female,Bengkulu,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,3,4,3,1,1,1,1,1,1,1,1,1,1,3,4,4,3,3,3,3,2,3,3,3,4,4,4
100,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,5,5,2,2,4,3,4,3,4,4
101,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",21% - 40%,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,5,2,3,2,2,3,3,3,3,2
102,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,2,2,5,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,2,2,2,3,3,3,3,2
103,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,4
104,Female,West Sumatera,e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,2,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3
105,Male,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",Less than 20%,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,4,2,2,3,2,3,2,2,2
106,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",61% - 80%,3,2,2,4,2,4,2,2,3,3,3,3,2,2,5,5,5,5,3,4,2,2,3,4,3,4,2,3
107,Female,Riau,Non e-paylater user,Until Senior High School,1996,Students,"Less than Rp 1,000,000",Less than 20%,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,2,4,2,4,4,5,5,5,5,4
108,Female,West Sumatera,Non e-paylater user,Post Graduate,2002,Students,"Less than Rp 1,000,000",Less than 20%,4,4,3,3,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,2,2,3,3,3,4,3,2
109,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",41% - 60%,1,1,2,2,1,1,1,1,1,1,1,1,1,2,4,4,4,4,5,5,1,3,5,5,4,5,5,5
110,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,3,2,2,1,2,2,2,3,3,3,3,1,3,4,4,4,4,4,4,3,3,4,5,4,4,3,5
111,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2004,Entrepreneur,"More than Rp 10,000,000",Less than 20%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5
112,Male,East Java,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,5,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4
113,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1992,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,4,4,4,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,2,2
114,Female,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1990,Students,"Less than Rp 1,000,000",Less than 20%,4,5,5,4,1,2,1,2,3,2,2,2,2,2,4,4,4,4,5,5,3,3,4,4,5,5,4,2
115,Male,Riau,Non e-paylater user,Post Graduate,1984,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3,3,4,2,4,4,3,3,2,1,2,2,2,2,2,2,1,2,4,4,3,3,3,3,4,3,4,3
116,Male,West Sumatera,Non e-paylater user,Until Senior High School,1995,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,5,5,5,5,5,5,5,5,5,5
