ID,Gender,Location,E-Paylater User Status,Educational Background,Year of Birth,Job Status,Monthly Income,Online Shopping Expenditure Percentage,Impulsive Buying Behavior Score,Promotion Score,Social Influence Score,Happiness Score,Self Control Score,Normative Evaluation Score
19,Male,West Java,e-paylater user,Bachelor/Diploma IV,1978,Entrepreneur,"More than Rp 10,000,000",21% - 40%,4,2,4,2,2,3
20,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1980,Students,"Less than Rp 1,000,000",Less than 20%,3,5,3,4,4,5
21,Male,North Sumatera,Non e-paylater user,Until Senior High School,1999,Students,"Less than Rp 1,000,000",21% - 40%,4,4,5,4,2,4
22,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,2,2,2,3,3
23,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"More than Rp 10,000,000",Less than 20%,2,1,1,2,3,4
24,Female,West Sumatera,e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",21% - 40%,3,4,3,4,3,3
25,Female,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,3,2,4,4,4
26,Male,DKI Jakarta,e-paylater user,"Diploma I, II, III",1991,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,4,4,4,4,3,3
27,Male,Jambi,Non e-paylater user,"Diploma I, II, III",1999,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,2,2,2,1,3,3
28,Male,North Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",More than 100%,2,2,4,4,2,4
29,Male,West Sumatera,Non e-paylater user,Post Graduate,1978,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,4,2,3,4,3,4
30,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3,1,3,3,3,5
31,Male,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1999,Working,"More than Rp 10,000,000",Less than 20%,3,1,2,4,4,2
32,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,2,2,4,3,3
33,Female,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",Less than 20%,3,1,1,3,3,4
34,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,4,2,2,2,4,4
35,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,3,2,2,4,3,3
36,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",1998,Students,"Less than Rp 1,000,000",Less than 20%,2,2,4,3,3,4
37,Male,West Sumatera,e-paylater user,"Diploma I, II, III",1998,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,4,4,4,4,3,3
38,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2000,Students,"Less than Rp 1,000,000",Less than 20%,2,3,2,5,4,2
39,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,1,2,5,2,5
40,Female,DKI Jakarta,e-paylater user,Until Senior High School,1998,Not Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3,2,2,3,3,3
41,Female,North Sumatera,e-paylater user,Bachelor/Diploma IV,1998,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,4,3,4,3,4
42,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1996,Students,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2,1,1,1,5,5
43,Female,West Kalimantan,e-paylater user,Bachelor/Diploma IV,1985,Working,"Rp 1,000,001 - Rp 2,500,000",61% - 80%,3,4,3,4,3,3
44,Male,West Java,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",21% - 40%,3,3,4,2,1,4
45,Female,Kepulauan Riau,e-paylater user,Until Senior High School,1978,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,3,3,4,3,3
46,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1980,Not Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2,2,2,3,3,3
47,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2004,Working,"More than Rp 10,000,000",Less than 20%,2,4,1,4,3,4
48,Male,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"More than Rp 10,000,000",Less than 20%,3,2,2,3,3,3
49,Male,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1988,Not Working,"Less than Rp 1,000,000",Less than 20%,5,5,5,5,3,5
50,Female,Riau,Non e-paylater user,Post Graduate,2003,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3,1,1,2,3,3
51,Male,West Java,Non e-paylater user,Bachelor/Diploma IV,1998,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,1,1,3,4,5
52,Female,DKI Jakarta,e-paylater user,Post Graduate,1997,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,3,2,2,4,2
53,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1987,Students,"Less than Rp 1,000,000",Less than 20%,3,2,2,4,4,4
54,Female,West Java,e-paylater user,Bachelor/Diploma IV,1979,Students,"Less than Rp 1,000,000",Less than 20%,2,4,4,4,3,2
55,Female,Riau,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,4,2,2,5,2,2
56,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2000,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2,1,2,4,2,3
57,Female,West Sumatera,e-paylater user,"Diploma I, II, III",2000,Students,"Less than Rp 1,000,000",21% - 40%,4,4,1,4,3,3
58,Female,DKI Jakarta,Non e-paylater user,Post Graduate,1998,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,1,2,4,3,4
59,Male,DKI Jakarta,e-paylater user,Post Graduate,1999,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2,4,4,4,4,4
60,Female,West Sumatera,e-paylater user,Until Senior High School,1989,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,3,4,4,3,3
61,Female,West Sumatera,e-paylater user,Until Senior High School,1984,Students,"Less than Rp 1,000,000",Less than 20%,2,2,2,3,4,4
62,Female,West Sumatera,Non e-paylater user,Until Senior High School,1995,Students,"Less than Rp 1,000,000",Less than 20%,4,3,3,4,3,3
63,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1976,Working,"More than Rp 10,000,000",Less than 20%,4,1,2,3,3,3
64,Female,West Java,e-paylater user,Post Graduate,1997,Entrepreneur,"Rp 7,500,001 - Rp 10,000,000",41% - 60%,4,4,4,4,3,2
65,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1979,Students,"Less than Rp 1,000,000",21% - 40%,3,3,2,4,3,3
66,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,2,2,2,4,4
67,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,3,2,1,5,3,4
68,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,1,1,3,3,3
69,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,3,3,3,3,3,3
70,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1974,Students,"Less than Rp 1,000,000",21% - 40%,2,1,1,4,4,4
71,Female,West Sumatera,Non e-paylater user,Until Senior High School,1982,Students,"Less than Rp 1,000,000",Less than 20%,3,2,2,4,3,3
72,Female,Kepulauan Riau,Non e-paylater user,Until Senior High School,1994,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,1,1,4,3,4
73,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1996,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,4,3,3
74,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,1,1,3,5,5
75,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1995,Working,"More than Rp 10,000,000",41% - 60%,3,2,2,4,3,5
76,Female,West Java,e-paylater user,Bachelor/Diploma IV,1974,Students,"Less than Rp 1,000,000",21% - 40%,3,4,4,5,3,2
77,Female,West Sumatera,Non e-paylater user,Until Senior High School,1988,Students,"Less than Rp 1,000,000",Less than 20%,3,2,2,3,3,2
78,Male,West Sumatera,e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,4,2,4
79,Male,Riau,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,2,2,2,3,2
80,Male,West Java,Non e-paylater user,Bachelor/Diploma IV,1988,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1,1,1,3,4,4
81,Female,West Sumatera,Non e-paylater user,Post Graduate,1995,Working,"More than Rp 10,000,000",Less than 20%,2,2,3,3,3,4
82,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2,2,2,2,3,4
83,Female,West Sumatera,e-paylater user,Until Senior High School,2001,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,3,2,4,3,4
84,Female,Jambi,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,1,2,5,3,2
85,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1990,Working,"More than Rp 10,000,000",Less than 20%,2,1,1,4,4,3
86,Male,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",21% - 40%,3,1,1,2,3,3
87,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1995,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,3,3,4,3,3
88,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",1997,Students,"Less than Rp 1,000,000",Less than 20%,3,1,3,4,3,3
89,Male,DKI Jakarta,Non e-paylater user,Until Senior High School,1986,Students,"Less than Rp 1,000,000",Less than 20%,2,3,3,4,4,4
90,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2,1,1,5,3,4
91,Female,West Java,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,4,2,2,5,2,2
92,Female,West Java,e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",21% - 40%,3,3,2,4,3,3
93,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1980,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,1,1,4,4,4
94,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2,2,2,4,3,3
95,Female,West Sumatera,e-paylater user,Post Graduate,2001,Entrepreneur,"Rp 7,500,001 - Rp 10,000,000",41% - 60%,4,4,4,4,3,2
96,Male,DKI Jakarta,Non e-paylater user,Post Graduate,1970,Working,"More than Rp 10,000,000",Less than 20%,2,1,1,3,4,4
97,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1992,Not Working,"Less than Rp 1,000,000",21% - 40%,4,1,1,4,3,4
98,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,1,1,4,4,2
99,Female,Bengkulu,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,1,1,4,3,4
100,Male,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,1,1,2,3,4,4
101,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",21% - 40%,2,1,1,4,3,3
102,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,4,3,4,3,3
103,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,1,2,2,2,3,4
104,Female,West Sumatera,e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,2,1,3,3,3,3
105,Male,West Sumatera,Non e-paylater user,Until Senior High School,1998,Students,"Less than Rp 1,000,000",Less than 20%,4,3,3,4,3,2
106,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",61% - 80%,3,2,3,5,3,3
107,Female,Riau,Non e-paylater user,Until Senior High School,1996,Students,"Less than Rp 1,000,000",Less than 20%,2,1,1,3,3,5
108,Female,West Sumatera,Non e-paylater user,Post Graduate,2002,Students,"Less than Rp 1,000,000",Less than 20%,4,2,3,4,3,3
109,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",41% - 60%,2,1,1,4,4,5
110,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,2,3,4,4,4
111,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2004,Entrepreneur,"More than Rp 10,000,000",Less than 20%,1,1,1,1,5,5
112,Male,East Java,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,4,3,4
113,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1992,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,4,2,3,3,3,2
114,Female,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,1990,Students,"Less than Rp 1,000,000",Less than 20%,4,2,2,4,4,4
115,Male,Riau,Non e-paylater user,Post Graduate,1984,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3,4,2,2,3,3
116,Male,West Sumatera,Non e-paylater user,Until Senior High School,1995,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,1,1,2,5,5
117,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1979,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2,1,3,2,3,5
118,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,2,2,2,4,3,4
119,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1990,Working,"More than Rp 10,000,000",Less than 20%,4,4,4,4,2,4
120,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",Less than 20%,4,4,4,4,2,4
121,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,4,4,4,3,3
122,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2001,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,2,1,2,3,4
123,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,4,4,4,4,3,3
124,Female,West Sumatera,e-paylater user,"Diploma I, II, III",2000,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,4,4,4,4,3,4
125,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1995,Working,"Rp 5,000,001 - Rp 7,500,000",61% - 80%,2,2,2,4,4,4
126,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2000,Entrepreneur,"Rp 1,000,001 - Rp 2,500,000",41% - 60%,3,1,2,4,4,3
127,Female,West Java,Non e-paylater user,Until Senior High School,1988,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3,2,2,4,3,3
128,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,3,2,3,4,3,3
129,Female,West Sumatera,e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,4,4,4
130,Male,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,1,1,1,4,4,4
131,Male,North Sumatera,Non e-paylater user,Until Senior High School,1996,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,1,2,2,3,4,4
132,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2003,Entrepreneur,"More than Rp 10,000,000",21% - 40%,4,2,4,2,2,3
133,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2003,Working,"More than Rp 10,000,000",Less than 20%,2,2,1,4,5,5
134,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,1,1,1,4,5
135,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",21% - 40%,2,2,3,4,4,1
136,Male,West Java,Non e-paylater user,Post Graduate,1989,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,4,4,4,5,5
137,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Entrepreneur,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,1,2,2,3,3,4
138,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,4,3,3
139,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",41% - 60%,4,4,3,4,3,4
140,Female,West Sumatera,e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",Less than 20%,2,3,3,4,3,2
141,Female,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3,2,2,4,3,2
142,Female,Riau,e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,4,4,4,4,2,4
143,Female,West Java,Non e-paylater user,Until Senior High School,1977,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,2,1,3,3,3
144,Male,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"More than Rp 10,000,000",Less than 20%,1,1,1,4,4,5
145,Male,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,1,1,1,3,1
146,Female,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2,2,2,3,3,4
147,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Students,"Less than Rp 1,000,000",Less than 20%,2,1,1,5,3,1
148,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Entrepreneur,"More than Rp 10,000,000",Less than 20%,5,3,2,4,3,4
149,Female,Jambi,Non e-paylater user,Until Senior High School,2000,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,3,3,3,3,2
150,Female,West Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,1,3,4,3,3
151,Female,Riau,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",Less than 20%,4,4,4,4,2,4
152,Female,West Sumatera,Non e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,4,4,4,4,3,4
153,Female,West Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",Less than 20%,2,4,3,4,3,3
154,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1996,Not Working,"Less than Rp 1,000,000",41% - 60%,4,1,1,4,3,3
155,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2,4,3,4,3,5
156,Male,West Sumatera,Non e-paylater user,Until Senior High School,2002,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2,2,2,3,3,2
157,Female,West Sumatera,Non e-paylater user,Post Graduate,1980,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,1,1,4,4,4
158,Female,Bengkulu,Non e-paylater user,Post Graduate,1999,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2,1,2,4,3,3
159,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1992,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,2,2,3,3,4
160,Female,West Sumatera,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,2,1,2,4,4,3
161,Male,West Sumatera,Non e-paylater user,Until Senior High School,1977,Students,"Less than Rp 1,000,000",Less than 20%,3,3,2,4,3,4
162,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1996,Working,"More than Rp 10,000,000",81% - 100%,2,2,2,4,3,3
163,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,2,3,4,4,4,4
164,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,2,1,2,4,3,5
165,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,2,1,1,4,3,3
166,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,3,2,2,4,3,3
167,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,4,3,3,3,3,3
168,Female,West Sumatera,e-paylater user,Until Senior High School,1998,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2,2,3,4,4,4
169,Female,West Sumatera,e-paylater user,Until Senior High School,1999,Students,"Rp 1,000,001 - Rp 2,500,000",41% - 60%,4,4,4,4,3,2
170,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1981,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,4,4,4,3,4
171,Male,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3,3,3,4,3,3
172,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"More than Rp 10,000,000",Less than 20%,2,1,1,4,4,4
173,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Not Working,"More than Rp 10,000,000",21% - 40%,2,2,2,4,4,2
174,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2,2,1,3,4,4
175,Female,West Java,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,3,4,4,4,3,4
176,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,4,3,2,4,4,4
177,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"Less than Rp 1,000,000",Less than 20%,3,2,3,4,3,3
178,Female,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2,1,1,1,4,5
179,Female,West Sumatera,e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,4,4,4,4,5
180,Female,Jambi,Non e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,2,3,2,5,3,4
181,Female,West Sumatera,e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",21% - 40%,2,4,4,4,3,3
182,Female,Bengkulu,e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 5,000,001 - Rp 7,500,000",41% - 60%,4,4,5,3,3,3
183,Female,Kepulauan Riau,e-paylater user,Until Senior High School,2001,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,3,3,2,4,3,5
184,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3,1,2,4,3,2
185,Female,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,3,2,1,4,4,3
186,Female,DKI Jakarta,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,4,1,1,4,4,2
187,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,4,4,3,4,3,3
